ground_truth_organizational_structure,prediction_organizational_structure,rounded_prediction_organizational_structure,ground_truth_coherence,prediction_coherence,rounded_prediction_coherence,ground_truth_essay_length,prediction_essay_length,rounded_prediction_essay_length,ground_truth_grammatical_accuracy,prediction_grammatical_accuracy,rounded_prediction_grammatical_accuracy,ground_truth_grammatical_diversity,prediction_grammatical_diversity,rounded_prediction_grammatical_diversity,ground_truth_lexical_accuracy,prediction_lexical_accuracy,rounded_prediction_lexical_accuracy,ground_truth_lexical_diversity,prediction_lexical_diversity,rounded_prediction_lexical_diversity,ground_truth_punctuation_accuracy,prediction_punctuation_accuracy,rounded_prediction_punctuation_accuracy,ground_truth_argument_clarity,prediction_argument_clarity,rounded_prediction_argument_clarity,ground_truth_justifying_persuasiveness,prediction_justifying_persuasiveness,rounded_prediction_justifying_persuasiveness
0.0,2.1972656,2.0,3.0,2.625,2.5,3.0,2.8398438,3.0,2.5,2.5957031,2.5,4.0,2.9511719,3.0,4.0,2.9921875,3.0,3.0,2.5,2.5,3.0,2.9492188,3.0,2.5,2.7109375,2.5,2.0,2.5332031,2.5
3.5,3.1152344,3.0,3.5,3.2226562,3.0,3.5,3.7714844,4.0,3.0,2.7753906,3.0,2.5,2.9667969,3.0,2.5,3.015625,3.0,3.0,2.7929688,3.0,3.5,3.2949219,3.5,2.5,3.3828125,3.5,3.5,3.109375,3.0
3.5,4.0898438,4.0,4.0,4.0742188,4.0,4.5,4.7773438,5.0,3.0,3.7734375,4.0,3.0,3.9101562,4.0,3.0,3.9140625,4.0,4.0,3.7128906,3.5,4.0,4.0898438,4.0,4.5,4.1289062,4.0,3.5,4.0273438,4.0
3.0,2.7460938,2.5,3.5,2.8632812,3.0,3.5,3.4414062,3.5,2.5,2.4667969,2.5,2.5,2.7910156,3.0,2.5,2.8710938,3.0,2.0,2.59375,2.5,2.5,2.8828125,3.0,3.0,3.2011719,3.0,2.5,2.9238281,3.0
3.5,4.1210938,4.0,3.5,4.2617188,4.5,5.0,4.9414062,5.0,4.0,4.1132812,4.0,4.0,4.3164062,4.5,4.0,4.3945312,4.5,3.0,3.8378906,4.0,4.0,4.390625,4.5,4.0,4.0976562,4.0,4.0,4.2148438,4.0
3.0,3.7089844,3.5,3.0,3.7851562,4.0,4.0,4.3359375,4.5,3.0,3.4179688,3.5,3.0,3.5429688,3.5,3.0,3.5742188,3.5,3.0,3.3691406,3.5,4.0,3.8789062,4.0,3.0,3.9140625,4.0,3.5,3.7070312,3.5
3.5,3.7460938,3.5,3.5,3.8164062,4.0,4.5,4.5429688,4.5,3.0,3.4101562,3.5,2.5,3.5625,3.5,2.5,3.6347656,3.5,3.0,3.3378906,3.5,5.0,3.8984375,4.0,3.0,3.9414062,4.0,3.5,3.7324219,3.5
3.0,3.2988281,3.5,3.5,3.4492188,3.5,3.0,3.9589844,4.0,4.0,3.1328125,3.0,2.5,3.3164062,3.5,2.5,3.3476562,3.5,4.0,3.0976562,3.0,5.0,3.4824219,3.5,2.5,3.6484375,3.5,3.0,3.3691406,3.5
4.0,4.3945312,4.5,4.0,4.4335938,4.5,5.0,5.1484375,5.0,4.0,4.4882812,4.5,4.0,4.6796875,4.5,4.0,4.765625,5.0,4.0,4.125,4.0,4.5,4.6835938,4.5,4.0,4.171875,4.0,3.5,4.375,4.5
4.0,4.4296875,4.5,4.0,4.4804688,4.5,5.0,5.1640625,5.0,5.0,4.5664062,4.5,5.0,4.7851562,5.0,5.0,4.84375,5.0,4.0,4.125,4.0,5.0,4.703125,4.5,4.0,4.1132812,4.0,4.5,4.3320312,4.5
4.0,3.7460938,3.5,4.0,3.8339844,4.0,4.5,4.4648438,4.5,3.5,3.5351562,3.5,3.5,3.7304688,3.5,3.5,3.7421875,3.5,3.0,3.3847656,3.5,4.0,3.9707031,4.0,4.0,3.875,4.0,3.5,3.7578125,4.0
3.0,3.6503906,3.5,4.0,3.7460938,3.5,4.0,4.2617188,4.5,3.0,3.3378906,3.5,2.5,3.4238281,3.5,2.5,3.4921875,3.5,3.0,3.2324219,3.0,3.0,3.6953125,3.5,4.0,3.9140625,4.0,4.0,3.6679688,3.5
3.5,4.0039062,4.0,3.5,4.0,4.0,5.0,4.6835938,4.5,3.0,3.8554688,4.0,4.0,4.0195312,4.0,4.0,4.1367188,4.0,3.0,3.5097656,3.5,3.5,4.2148438,4.0,4.0,4.0742188,4.0,3.0,3.9453125,4.0
4.0,4.2265625,4.0,4.5,4.3085938,4.5,5.0,5.0117188,5.0,4.0,4.3164062,4.5,4.0,4.3632812,4.5,4.0,4.390625,4.5,3.5,3.8984375,4.0,4.5,4.4609375,4.5,4.0,4.1445312,4.0,4.0,4.0625,4.0
3.5,3.7539062,4.0,3.5,3.6777344,3.5,4.0,4.2109375,4.0,2.0,3.2089844,3.0,3.0,3.3085938,3.5,3.0,3.3339844,3.5,3.0,3.1191406,3.0,3.5,3.5605469,3.5,3.0,3.8203125,4.0,3.0,3.4667969,3.5
4.0,4.4335938,4.5,5.0,4.5,4.5,5.0,5.09375,5.0,4.0,4.5039062,4.5,4.5,4.6757812,4.5,4.5,4.7382812,4.5,4.0,4.0703125,4.0,4.5,4.6015625,4.5,4.5,4.1679688,4.0,4.0,4.1484375,4.0
4.0,4.2539062,4.5,3.5,4.3554688,4.5,5.0,4.984375,5.0,4.0,4.3007812,4.5,4.0,4.4101562,4.5,4.0,4.4609375,4.5,4.0,3.9199219,4.0,4.0,4.4570312,4.5,4.0,4.1523438,4.0,3.5,4.0546875,4.0
4.0,4.4648438,4.5,3.5,4.484375,4.5,5.0,5.15625,5.0,4.5,4.5859375,4.5,4.5,4.7265625,4.5,4.5,4.8007812,5.0,3.0,4.0625,4.0,4.5,4.546875,4.5,5.0,4.2109375,4.0,3.0,4.2304688,4.0
3.5,3.0996094,3.0,3.5,3.2324219,3.0,3.5,3.5976562,3.5,2.5,2.84375,3.0,2.5,2.9550781,3.0,2.5,3.0078125,3.0,2.5,2.7832031,3.0,2.5,3.2070312,3.0,3.5,3.4042969,3.5,3.0,3.0351562,3.0
3.5,3.9550781,4.0,3.5,3.921875,4.0,4.5,4.5585938,4.5,3.0,3.7578125,4.0,3.0,3.7539062,4.0,3.0,3.8320312,4.0,3.0,3.5136719,3.5,3.5,4.0546875,4.0,4.0,3.9375,4.0,3.5,3.8261719,4.0
3.5,4.1640625,4.0,4.0,4.15625,4.0,4.5,4.84375,5.0,3.5,3.9414062,4.0,3.5,4.0703125,4.0,3.5,4.1875,4.0,3.0,3.6894531,3.5,4.5,4.2734375,4.5,4.0,4.125,4.0,3.0,4.015625,4.0
4.0,4.1328125,4.0,4.0,4.1875,4.0,4.5,4.9023438,5.0,3.5,4.078125,4.0,4.0,4.3398438,4.5,4.0,4.375,4.5,3.0,3.7304688,3.5,4.5,4.4101562,4.5,4.0,4.09375,4.0,3.0,4.0351562,4.0
3.5,3.7695312,4.0,4.0,3.78125,4.0,4.5,4.390625,4.5,2.5,3.4316406,3.5,3.0,3.5800781,3.5,3.0,3.5097656,3.5,3.0,3.3144531,3.5,4.0,3.828125,4.0,4.0,3.8671875,4.0,3.5,3.6660156,3.5
3.0,3.4335938,3.5,3.5,3.3808594,3.5,4.0,3.9667969,4.0,3.0,2.90625,3.0,2.5,3.0039062,3.0,2.5,3.0351562,3.0,2.0,2.9355469,3.0,3.5,3.2910156,3.5,3.0,3.71875,3.5,3.0,3.2382812,3.0
3.5,3.6152344,3.5,4.0,3.5878906,3.5,3.5,4.0390625,4.0,3.0,3.1191406,3.0,3.0,3.1972656,3.0,3.0,3.265625,3.5,3.0,3.1464844,3.0,2.5,3.4199219,3.5,4.0,3.7460938,3.5,3.5,3.4199219,3.5
3.0,3.1386719,3.0,3.0,3.1523438,3.0,3.5,3.7109375,3.5,2.5,2.5996094,2.5,2.0,2.6738281,2.5,2.0,2.7265625,2.5,3.0,2.6972656,2.5,2.5,2.9804688,3.0,3.0,3.4628906,3.5,2.5,3.0097656,3.0
3.0,3.453125,3.5,3.0,3.5703125,3.5,5.0,4.1171875,4.0,3.0,3.21875,3.0,3.0,3.2441406,3.0,3.0,3.2753906,3.5,3.0,3.1621094,3.0,3.5,3.5625,3.5,4.0,3.7578125,4.0,3.0,3.4140625,3.5
2.5,3.1816406,3.0,3.0,3.2929688,3.5,3.5,3.8164062,4.0,2.5,2.8554688,3.0,3.0,3.1289062,3.0,3.0,3.1699219,3.0,2.0,2.8535156,3.0,5.0,3.3183594,3.5,2.5,3.625,3.5,3.0,3.2421875,3.0
2.5,2.9765625,3.0,3.0,3.0644531,3.0,2.5,3.4902344,3.5,2.0,2.6328125,2.5,2.5,2.890625,3.0,2.5,2.9355469,3.0,2.0,2.6679688,2.5,2.5,3.0703125,3.0,2.5,3.2929688,3.5,3.0,2.9511719,3.0
3.5,3.9101562,4.0,3.5,3.8515625,4.0,3.0,4.4296875,4.5,3.0,3.5722656,3.5,4.0,3.7949219,4.0,4.0,3.8828125,4.0,2.5,3.3808594,3.5,5.0,4.0585938,4.0,4.0,3.9804688,4.0,2.5,3.7148438,3.5
4.0,2.8945312,3.0,3.5,2.8046875,3.0,3.0,3.3808594,3.5,2.0,2.2519531,2.5,1.5,2.3769531,2.5,1.5,2.4023438,2.5,2.0,2.4316406,2.5,2.5,2.5703125,2.5,3.0,3.1425781,3.0,3.0,2.7792969,3.0
4.0,3.3886719,3.5,3.0,3.4375,3.5,3.0,3.8789062,4.0,2.5,3.0703125,3.0,3.0,3.359375,3.5,3.0,3.375,3.5,3.0,3.0703125,3.0,3.5,3.6328125,3.5,3.5,3.5449219,3.5,3.5,3.3085938,3.5
3.5,3.2460938,3.0,3.0,3.2988281,3.5,3.5,3.7636719,4.0,2.0,2.9882812,3.0,3.0,3.2226562,3.0,3.0,3.2910156,3.5,3.0,2.9941406,3.0,3.5,3.3671875,3.5,3.0,3.5742188,3.5,3.0,3.2070312,3.0
2.0,2.6484375,2.5,2.5,2.75,3.0,3.5,3.34375,3.5,2.0,2.3613281,2.5,2.0,2.609375,2.5,2.0,2.6679688,2.5,2.0,2.4921875,2.5,4.0,2.8339844,3.0,3.0,3.1816406,3.0,3.5,2.8398438,3.0
4.5,4.4335938,4.5,4.0,4.3984375,4.5,5.0,5.125,5.0,4.0,4.3710938,4.5,5.0,4.671875,4.5,5.0,4.75,5.0,4.0,4.0976562,4.0,4.5,4.6054688,4.5,4.0,4.1601562,4.0,4.0,4.3125,4.5
5.0,4.328125,4.5,4.0,4.3085938,4.5,4.0,4.9609375,5.0,4.5,4.2421875,4.0,4.0,4.4921875,4.5,4.0,4.5585938,4.5,3.5,3.9882812,4.0,4.5,4.546875,4.5,4.0,4.1171875,4.0,4.0,4.2695312,4.5
3.5,3.7695312,4.0,3.0,3.8203125,4.0,4.5,4.4492188,4.5,2.5,3.5449219,3.5,2.5,3.671875,3.5,2.5,3.7851562,4.0,3.0,3.4394531,3.5,5.0,4.09375,4.0,3.5,3.9570312,4.0,3.0,3.734375,3.5
3.5,3.3007812,3.5,3.0,3.3984375,3.5,3.5,3.9667969,4.0,3.0,3.015625,3.0,3.0,3.2851562,3.5,3.0,3.2617188,3.5,3.0,3.0449219,3.0,4.0,3.4609375,3.5,3.5,3.4667969,3.5,3.0,3.2792969,3.5
4.0,3.5546875,3.5,3.5,3.6074219,3.5,4.5,4.1835938,4.0,2.5,3.1816406,3.0,2.5,3.3828125,3.5,2.5,3.3574219,3.5,3.0,3.2246094,3.0,4.0,3.6347656,3.5,2.0,3.6191406,3.5,3.5,3.5078125,3.5
3.0,2.4980469,2.5,2.5,2.5507812,2.5,2.0,3.0507812,3.0,2.0,2.1308594,2.0,2.0,2.3203125,2.5,2.0,2.3613281,2.5,2.0,2.3027344,2.5,3.5,2.4824219,2.5,2.0,2.9140625,3.0,2.0,2.5839844,2.5
4.0,3.6191406,3.5,3.0,3.7148438,3.5,3.5,4.171875,4.0,3.5,3.4570312,3.5,3.0,3.5175781,3.5,3.0,3.5507812,3.5,3.5,3.3828125,3.5,3.5,3.6621094,3.5,2.5,3.7246094,3.5,4.0,3.6503906,3.5
2.0,1.8115234,2.0,2.0,1.9453125,2.0,2.0,2.4101562,2.5,2.0,1.6875,1.5,1.5,1.8974609,2.0,1.5,1.9130859,2.0,2.0,1.8330078,2.0,2.5,2.0507812,2.0,1.0,2.0839844,2.0,2.0,2.0957031,2.0
4.0,3.640625,3.5,3.5,3.5136719,3.5,4.5,4.1171875,4.0,3.0,3.2871094,3.5,3.0,3.3984375,3.5,3.0,3.4921875,3.5,3.0,3.1523438,3.0,4.0,3.7832031,4.0,3.0,3.4140625,3.5,3.5,3.359375,3.5
3.5,4.015625,4.0,3.0,3.9433594,4.0,3.5,4.578125,4.5,3.5,3.5800781,3.5,3.0,3.6679688,3.5,3.0,3.7324219,3.5,3.0,3.4257812,3.5,4.5,4.0664062,4.0,4.0,4.0742188,4.0,3.5,3.8222656,4.0
3.5,4.1367188,4.0,3.5,4.09375,4.0,5.0,4.9375,5.0,3.5,3.9101562,4.0,3.5,4.203125,4.0,3.5,4.1523438,4.0,3.5,3.71875,3.5,3.5,4.234375,4.0,3.5,4.015625,4.0,3.5,4.0234375,4.0
4.0,4.453125,4.5,4.0,4.421875,4.5,4.0,5.078125,5.0,4.0,4.375,4.5,4.0,4.6679688,4.5,4.0,4.7148438,4.5,3.0,4.078125,4.0,4.0,4.5546875,4.5,5.0,4.1640625,4.0,4.0,4.328125,4.5
4.5,4.3945312,4.5,4.0,4.3242188,4.5,4.5,5.0976562,5.0,3.5,4.28125,4.5,4.0,4.546875,4.5,4.0,4.5859375,4.5,3.0,3.9882812,4.0,4.0,4.4765625,4.5,4.5,4.1289062,4.0,4.5,4.28125,4.5
3.5,2.7207031,2.5,3.0,2.8828125,3.0,2.5,3.3867188,3.5,2.5,2.4199219,2.5,2.0,2.7519531,3.0,2.0,2.7421875,2.5,2.5,2.6386719,2.5,4.0,2.9023438,3.0,3.5,3.1582031,3.0,2.0,2.8203125,3.0
3.0,3.3984375,3.5,3.0,3.3066406,3.5,3.5,3.9726562,4.0,3.0,2.9609375,3.0,2.5,3.09375,3.0,2.5,3.0878906,3.0,2.5,2.9375,3.0,4.0,3.4199219,3.5,3.5,3.578125,3.5,3.5,3.2324219,3.0
3.5,3.6171875,3.5,3.5,3.6210938,3.5,3.5,4.1289062,4.0,3.0,3.21875,3.0,3.0,3.3847656,3.5,3.0,3.4433594,3.5,3.0,3.1660156,3.0,3.5,3.7363281,3.5,4.0,3.8691406,4.0,3.5,3.4511719,3.5
3.0,3.3183594,3.5,3.0,3.2617188,3.5,3.5,3.8632812,4.0,2.5,2.8847656,3.0,3.0,3.1621094,3.0,3.0,3.1992188,3.0,3.0,2.9707031,3.0,3.0,3.375,3.5,3.5,3.6386719,3.5,3.5,3.2714844,3.5
2.5,3.328125,3.5,3.5,3.6269531,3.5,4.0,4.0585938,4.0,3.5,3.5859375,3.5,3.0,3.5195312,3.5,3.0,3.7089844,3.5,3.0,3.2324219,3.0,4.5,3.96875,4.0,2.5,3.4042969,3.5,3.5,3.4550781,3.5
2.0,3.125,3.0,2.5,3.4453125,3.5,3.0,3.9003906,4.0,3.0,3.484375,3.5,3.5,3.6992188,3.5,3.5,3.7578125,4.0,3.0,3.1367188,3.0,4.5,3.8632812,4.0,4.0,3.5292969,3.5,2.5,3.3457031,3.5
3.0,3.2832031,3.5,3.5,3.4941406,3.5,4.5,4.0,4.0,3.0,3.109375,3.0,3.0,3.1542969,3.0,3.0,3.2753906,3.5,3.0,3.0527344,3.0,2.5,3.5136719,3.5,3.5,3.6386719,3.5,3.0,3.3652344,3.5
3.5,4.0585938,4.0,4.0,4.2539062,4.5,4.0,4.8867188,5.0,4.0,4.3007812,4.5,4.0,4.4765625,4.5,4.0,4.59375,4.5,4.0,3.8613281,4.0,4.5,4.5,4.5,4.0,4.0273438,4.0,3.5,4.1640625,4.0
1.0,1.5341797,1.5,2.0,1.8632812,2.0,2.5,1.8994141,2.0,2.0,1.8369141,2.0,2.0,2.0742188,2.0,2.0,2.1074219,2.0,2.5,1.7939453,2.0,2.5,2.0351562,2.0,3.0,1.9130859,2.0,2.0,1.84375,2.0
2.5,3.3066406,3.5,3.0,3.453125,3.5,3.5,3.9042969,4.0,3.0,3.2070312,3.0,3.0,3.4082031,3.5,3.0,3.4101562,3.5,3.5,3.1035156,3.0,4.0,3.5019531,3.5,3.0,3.6074219,3.5,3.0,3.3046875,3.5
3.5,4.0351562,4.0,4.0,4.1914062,4.0,5.0,4.9414062,5.0,3.5,4.0859375,4.0,4.0,4.2539062,4.5,4.0,4.3203125,4.5,3.5,3.734375,3.5,4.0,4.2734375,4.5,3.0,3.9394531,4.0,3.5,3.9257812,4.0
2.0,2.6679688,2.5,2.5,2.8632812,3.0,3.5,3.3066406,3.5,2.0,2.4667969,2.5,2.5,2.6660156,2.5,2.5,2.703125,2.5,2.0,2.4902344,2.5,2.5,2.7207031,2.5,3.5,3.1660156,3.0,3.0,2.8574219,3.0
1.5,2.3671875,2.5,2.5,2.703125,2.5,3.0,3.2207031,3.0,3.0,2.5292969,2.5,3.0,2.8378906,3.0,3.0,2.8359375,3.0,2.0,2.4023438,2.5,3.0,2.8046875,3.0,2.5,2.7851562,3.0,3.0,2.7070312,2.5
3.5,3.5742188,3.5,3.5,3.5957031,3.5,4.5,4.2109375,4.0,3.0,3.1425781,3.0,2.5,3.2246094,3.0,2.5,3.2929688,3.5,3.0,3.0449219,3.0,3.5,3.3808594,3.5,3.0,3.7734375,4.0,3.5,3.3867188,3.5
3.0,3.5878906,3.5,3.5,3.7539062,4.0,3.5,4.3515625,4.5,3.0,3.484375,3.5,3.0,3.7734375,4.0,3.0,3.8164062,4.0,3.0,3.3613281,3.5,5.0,3.9941406,4.0,3.5,3.8769531,4.0,3.0,3.6308594,3.5
